,Verse,B1,P3,To,W1,Normalized
136,218,Et ueniat saluo semper honore meo,Ut uenias saluo semper honore meo,Ut ueniat saluo semper honore meo,Ut uenias saluo semper honore meo,"komi
 hingat ok þó svá at ek haldi sǿmð minni"
137,219,Auscultare licet et reddere uerba - - puellis,Auscultare licet et reddere uerba puelle uel puellis,Auscultare licet - reddere uerba - - puellis,Auscultare licet et reddere uerba - - puellas,lofat er meyjum at hlýða orðum manna ok orðum svara
138,22,Acrior effusus parcior esse solet,Acrior effusus parcior esse solet,Acrior effusus parcior esse solet,Acrior effusus parcior esse solet,
139,220,Conuenit ista tamen ut moderanter agant,Conuenit ista tamen ut moderanter agant,Conuenit ista tamen ut moderanter agant,Conuenit ista tamen ut moderanter agant,ok þó hǿfir at stilling sé á
140,221,Verbula si dederis ludendo uerbula reddam,Verbula si dederis ludendo uerbula reddam,Verbula si dederis ludendo uerbula reddam,Verbula si dederis ludendo uerbula reddam,"ef þú rǿðir gott til mín leikandi mun ek svara
 þér"
141,222,Sed si forte nocent hec tibi non paciar,Sed si forte nocent hec michi non paciar,Sed si forte nocent hec tibi non paciar,Sed si forte nocent hoc tibi non paciar,en ef nǫkkut er meinsamt í þá man ek þat víst ei þola
142,223,Nos simus esse petis solos simul esse recuso,Nos simul esse petis solos simul esse recuso,Nos simul esse petis solos simul esse recuso,Nos simul esse petis solos simul esse recuso,en þú beiðisk at vit sém tvau einsaman því nítta ek
143,224,Non decet in solo nos habitare - loco,Non decet in solo nos habitare - loco,Non decet in solo simul nos esse loco,Non decet in solo nos habitare - loco,því at eigi dugir okkr tveim einum inni vera
144,225,Nam loca sola nocent mala fama nascitur inde,Nam loca sola nocent infamia - nascitur inde,Nam sola loca nocent infamia - nascitur inde,Nam loca sola nocent infamia - nascitur inde,því at af slíku vex meyjum ámǽli
145,226,Tucius ergo loquar plebe uidente tibi,Tucius inde loquar plebe uidente tibi,Tucius ipsa loquar plebe uidente tibi,Tucius ergo loquar plebe uidente tibi,
146,227,"""Non michi parua modo sed munera magna dedisti","""Non michi parua modo sed munera magna dedisti","""Non michi parua modo sed munera magna dedisti","""Non modo parua michi sed munera magna dedisti",Eigi gaft þú mér nú smám því at stórar gjafir
147,228,Nempe michi tantum sufficit alloquium,Nempe michi tantum sufficit alloquium,Nempe michi tantum sufficit alloquium,Nempe michi tantum sufficit alloquium,þykki mér viðrmǽli þitt
148,229,Hijs meritis dignas tibi nequeo reddere grates,Hijs meritis dignas nequeo tibi reddere grates,Hijs meritis dignas nequeo tibi reddere grates,Hijs meritis dignas nequeo tibi reddere grates,get ek ei þér þakkat sem vert er
149,23,Ergo loquar Veneri Venus est mors uitaque nostra,Ergo loquar Veneri Venus est mors uitaque nostra,Ergo loquar Veneri Venus est mors uitaque nostri,Ergo loquar Veneri Venus est mors uitaque nostra,Því man ek nú mǽla við Venerem kvennagyðju er bani er lífs míns
150,230,Equeri urbis non ualet hoc meritum,Equari uerbis non ualet hoc meritum,Equari meritis non ualet hoc meritum,Equari uerbis non ualet hoc meritum,þessa virðing má ek eigi með orðum gjalda né með atburð
151,231,Sed fortassis adhuc ueniet tempusque diesque,Sed fortassis adhuc ueniet tempusque diesque,Sed fortassis adhuc ueniet tempusque diesque,Sed fortassis adhuc ueniet tempusque diesque,þá mun tíð koma
152,232,Quo se monstrabit si quis amicus erit,Quo se monstrabit si quis amicus erit,Quo se monstrabit si quis amicus erit,Quo se monstrabit si quis amicus erit,er sýna mun þér sannan vin
153,233,Ne tibi displiceat non audeo dicere quicquam,Ne tibi displiceat non audeo dicere quicquam,Non tibi displiceat non audeo dicere quicquam,Ne tibi displiceat non audeo dicere quicquam,lát eigi nú þér fyrir þykkja því at eigi þori ek þér nú fleira at segja þó at ek vilda
154,234,Quamuis te peterem pauca libenter adhuc,Quamuis te peterem pauca libenter adhuc,Quamuis te peterem pauca libenter adhuc,Quamuis te peterem pauca libenter adhuc,en þó vil ek þik nǫkkurs biðja
155,235,Nos alternatim complexus basia tactus,Nos alternatim complexus basia tactus,Nos alternatim complexus basia tactus,Nos alternatim complexus basia tactus,
156,236,Et dare possimus cum locus affuerit,Vt dare possimus dum locus affuerit,Vt dare possimus cum locus affuerit,Vt dare possimus cum locus affuerit,
157,237,Quamuis illicitum complexus nutrit amorem,Quamuis illicitum complexus nutrit amorem,Quamuis illicitum complexus nutrit amorem,Quamuis illicitum complexus nutrit amorem,at faðman fǿði óleyfða ást
158,238,Et fallit dominam basia sepe suam,Et fallunt dominam basia sepe suam,Et fallant dominam basia sepe suam,Et fallunt dominam basia sepe suam,At oft svíki kossar ok faðman unga mey
159,239,Hoc solum paciar sed tu nil amplius addas,Hoc solum paciar sed tu aut amplius addas,Hoc solum paciar sed tu nil amplius addas,Hoc solum paciar sed tu nil amplius addas,þá mun ek nú at eins þat þola þér en þú lát ei fleira fram koma
160,24,Duceturque suis omnia consilijs,Ducenturque suis omnia consilijs,Ducunturque suis omnia consilijs,Vincenturque suis omnia consilijs,
161,240,Nam cuiquam sine te talia non paterer,Nam cuiquam sine te talia non paterer,Nam cuicunque sine te talia non paterer,Nam cuiquam sine te talia non paterer,ok þetta mynda ek ok øngum nema þér þola
162,241,Sed modo de templo uenient uterque parentes,Sed modo de templo ueniunt utrique parentes,Sed modo de templo ueniunt utrique parentes,Sed modo de templo ueniunt utrique parentes,en nú mun frá kirkju koma faðir minn ok móðir
163,242,Et michi ne causer conuenit ire domum,Et michi ne causer conuenit ire domum,Et modo ne causer conuenit ire domum,Et michi ne causer conuenit ire domum,ok hǿfir mér nú heim at ganga at ek verði eigi ásakað
164,243,Tempora fac uenient pariter quibus ambo loquamur,Tempora sat ueniunt pariter quibus ambo loquamur,Tempora sat uenient pariter quibus ambo loquemur,Tempora sat uenient pariter quibus ambo loquamur,því at enn munu tíðir gnógar ganga er vit megum við rǿðask
165,244,Et memor interea quisque sit alterius,Et memor interea quisque sit alterius,Et memor - quisque sit alterius,Et memor interea quisque sit alterius,
166,245,"""Lecior in toto me non est nec fuit orbe","""Lecior in toto me non est nec fuit orbe","""Lecior in toto me non est nec fuit orbe","""Lecior in toto me non est nec fuit orbe",Engi er ok engi var í ǫllum heimi jafnfeginn sem ek var
167,246,Figitur in ripis anchora noscra suis,Figitur in ripis anchora noscra suis,Fingitur in ripis anchora noscra suis,Figitur in ripis anchora noscra suis,at fastr er orðinn vili várr í brjósti henni
168,247,Me nimium subito Deus et Fortuna beauit,Me subito nimium Deus et Fortuna beauit,Me subito nimium Deus et Fortuna beauit,Me subito nimium Deus et Fortuna beauit,mik hefir allbrátt nú sǽlan gǫrt
169,248,Nam diues redeo qui miser ante fui,Nam diues redeo qui miser ante fui,Nam diues redeo qui miser ante fui,Nam diues redeo qui miser ante fui,því at ek fer nú sǽll heim en ek fór fátǿkr heiman
170,249,Illius hec frustra quod sim memor illa rogauit,Illius hec frustra quod sim memor illa rogauit,Illius hoc frustra quod sim memor illa rogauit,Illius hic frustra quod sim memor ante rogauit,um þǫrf fram bað hon at ek skylda hennar minnask
171,25,Vnica spes uite nostre Venus inclita salue,Vnica spes uite nostre Venus inclita salue,Vnica spes uite nostre Venus inclita salue,Vnica spes uite nostre Venus inclita salue,Einkaván lífs míns dýrlig Venus heil sé þú
172,250,Quam de mente mea nec labor excuteret,Quam de mente mea nec labor excuteret,Quam mea de mente non labor examinat,Quam de mente mea nec labor excuteret,því at engi hlutr má henni ór mínum hug hrinda
173,251,Non me consentit ut eam desidero nescit,Non mecum sentit ut eam desidero nescit,Non mecum sentit ut eam desidero nescit,Non mecum sentit ut eam desidero nescit,eigi kennir hon með mér ok eigi veit hon hversu mjǫk ek fýsumsk hana
174,252,Cum uelud ipse sui sit memor illa mei,Sum uelud ipse fui sit memor ipsa mei,Sum uelud ipse fui sit memor - illetium,Sum uelud ipse sui sit memor ipsa mei,ok mun mér vera sem var
175,253,Pluribus expedior sed adhuc - plura cohercent,Pluribus expedior et adhuc me plura cohercent,Pluribus expedior et adhuc me plura cohercent,Pluribus expedior et adhoc me plura cohercent,"at meinar mér ok enn fleira
 þrøngir"
176,254,De quibus ipse meum nescio consilium,De quibus ipse meum nescio consilium,De quibus ipse meum nescio consilium,De quibus ipse meum nescio consilium,því kann ek eigi sjalfr ráð fyrir mér at sjá
177,255,Si studiosus eam uerbisque locisque frequentem,Si studiosus eam uerbisque iocisque frequentem,Si studiosus eam uerbisque locisque frequentem,Si studiosus eam uerbisque iocisque frequentem,ef ek em íðinn á ok á ek oft við hana orð ok leik
178,256,Auferet assuetas garrula fama uias,Auferet assuetas garrula fama uias,Auferat assuetas garrula fama uias,Auferet assuetas garrula fama uias,þá mun fjǫlmǽlgi firra okkra fyndi
179,257,Firmat amiciciam si nulla frequencia nostram,Firmet amiciciam si nulla frequencia nostram,Firmet amiciciam si nulla frequencia nostram,Firmet amiciciam si nulla frequencia nostram,en ef engi oftsemi festir vára vináttu
180,258,Non bene firmus adhuc forsan abibit amor,Non bene firmus adhuc forsan abibit amor,Non bene firmus adhuc forsan adibit amor,Non bene firmus adhuc forsan abibit amor,þá með atburð mun ást hrørna af hennar hendi
181,259,Vsu crescit amor omnis decrescit abusu -,Vsu crescit amor omnis decrescit in usu,Vsu crescit amor noster decrescit et usu,Vsu crescit amor omnis decrescit abusu -,ǫll ást vex með venju ok með venju þverr
182,26,Que facis imperio cuncta subire tuo,Que facis imperio cuncta subire tuo,Que facis imperio cuncta subire tuo,Que facis imperio cuncta subire tuo,er lǽtr alla hluti vera undir þínu valdi
183,260,Omnis et impastus attenuatur amor,Omnis et impastus attenuatur amor,Omnis et impastus attenuatur amor,Omnis et impastus attenuatur amor,ok ǫll fyrnisk vanfest ást
184,261,Perpetuo crescit lignis crescentibus ignis,Perpetuo crescit lignis crescentibus ignis,Perpetuo crescit lignis crescentibus ignis,Perpetuo crescit lignis crescentibus ignis,jafnan vex eldr at á lǫgnum viði
185,262,Detrahe ligna - foco protinus ignis abest,Detrahe ligna ligna foco protinus ignis abest,Detrahe ligna - foco protinus ignis abest,Detrahe ligna - foco protinus ignis abest,dreg við af eldi þá mun brátt eldr slokna
186,263,Sollicititus curis tantis tantisque periclis,Sollicititis curis tantis tacitisque periclis,Sollicititus tanta cura tantisque periclis,Sollicititus tantis curis tantisque periclis,
187,264,Detrahor in quantis nescio mente modis,Detrahor in quantis nescio mente modis,Detrahor in quantis nescio mente modis,Detrahor in quantis nescio mente modis,
188,265,Hac in re nullam uideo michi prosperitatem,Hac in re nullam uideo michi prosperitatem,Hac in re nullam uideo michi prosperitatem,Hac in re nullam uideo michi prosperitatem,í þeima hlut sé ek mér enga hógvǽri
189,266,Non habet et tutum mens mea propositum,Non habet et tutum mens mea propositum,Non habet et tutum mens mea propositum,Non habet et tutum mens mea propositum,ok hyggja mín hefir engi ørugg tiltǿki
190,267,Abstitit interdum factis Fortuna uirorum,Obstitit interdum factis Fortuna uirorum,Obstitit interdum factis Fortuna uirorum,Obstitit interdum factis Fortuna uirorum,því at í móti stendr stundum skepna karla verkum
191,268,Prepositumque suo non sinit esse loco,Propositumque suo non sinit esse loco,Propositumque suum non sinit esse loco,Propositumque suo non sinit esse loco,ok lǽtr ei ǽtlan í stað vera
192,269,Sic multis nocuit multos tamen ipsa beauit,Sic multis nocuit multos tamen illa beauit,Sic multis nocuit multos tamen illa beauit,Sic multis nocuit multos tamen ipsa beauit,svá hefir hon stundum meinsǫm verit en suma sǽla gǫrt
193,27,Quam timet alta ducum seruitque potencia regum,Quam timet alta ducum seruitque potencia regum,Quam timet alta ducum seruitque potencia regum,Quam timet alta ducum seruitque potencia regum,Þik hrǽðisk háleitt konungaveldi ok þjóna þér
194,270,Viuit in hoc mundo taliter omnis homo,Viuit in hoc mundo taliter omnis homo,Viuit in hoc mundo taliter omnis homo,Viuit in hoc mundo taliter omnis homo,ok á þá lund lifir hverr maðr í verǫld þessi
195,271,Prouidet et tribuit Deus et labor omnia nobis,Prouidet et tribuit Deus et labor omnia nobis,Prouidet et tribuit Deus et labor omnia nobis,Prouidet et tribuit Deus et labor omnia nobis,
196,272,Proficit absque Deo nullus in orbe labor,Proficit absque Deo ullus in orbe labor,Proficit absque Deo nullus in orbe labor,Proficit absque Deo nullus in orbe labor,
197,273,Sic Deus ergo mei custos rectorque laboris,Sit Deus ergo mei custos rectorque laboris,Sit Deus ergo mei custos rectorque laboris,Sit Deus ergo mei custos rectorque laboris,sé guð stjórn ok stýrimaðr starfs míns
198,274,Omne gubernet opus propositumque meum,Omne gubernet opus propositumque meum,Omne gubernet opus propositumque meum,Omne gubernet opus propositumque meum,ok hann stýri ǫllu verki mínu
199,275,Non meus interpres fuerit fraterque neposque,Non meus interpres fuerit fraterque neposque,Non meus interpres fuerit fraterque neposque,Non meus interpres fuerit fraterque neposque,tulkr minn skal eigi vera bróðir ok ei bróðursunr
200,276,Nam nullus leuiter inuenit inde fidem,Nam nullus leuiter inuenit inde fidem,Nam nullus leuiter inuenit inde fidem,Nam nullus leuiter inuenit inde fidem,trautt finnsk sá er í slíku er trúr
201,277,Iura fidemque nepos nescit seruare nepoti,Iura fidemque nepos nescit seruare nepoti,Iura fidemque nepos nescit seruare nepoti,Iura fidemque nepos nescit seruare nepoti,"með trú eða félagi kann eigi
 gǽta frǽndi frǽnda"
202,278,Nec frater fratri cum furor ille uenit,Nec frater fratri cum uenit ille furor,Nec frater fratri cum uenit ille furor,Nec frater fratri cum furor ille uenit,né bróðir bróður þá er sú ǿði kømr
203,279,Causa pusilla nocet sapiensque nocencia uitat,Causa pusilla nocet sapiensque nocencia uitat,Causa pusilla nocet sapiensque nocencia uitat,Causa pusilla nocet sapiensque nocencia uitat,lítil sǫk spillir stundum nema vitr varisk þat er spells er ván
204,28,Supplicibus uotis tu pia parce mei,Supplicibus uotis tu pia parce mei,Supplicibus uotis tu pia parce mei,Supplicibus uotis tu pia parce mei,Vǽg þú hin milda lítillátliga mínum bǿnum
205,280,Ergo nos aliam conuenit ire uiam,Ergo nos aliam conuenit ire uiam,Ergo nos aliam conuenit ire uiam,Ergo nos aliam conuenit ire uiam,því hǿfir oss aðra gǫtu fara
206,281,Hic prope degit anus subtilis et ingeniosa,Hic prope degit anus subtilis et ingeniosa,Hic prope degit anus subtilis et ingeniosa,Hic prope degit anus subtilis et ingeniosa,ek veit at hér í nánd býr kerling ein vitsfull ok þó bragðsǫm
207,282,Artibus et Veneris apta ministra satis,Artibus et Veneris apta ministra satis,Artibus et Veneris apta ministra satis,Artibus et Veneris apta magistra satis,"ok vel fallinn losta at þjóna
 kvennagyðju"
208,283,Propositis curis ad eam uestigia uertam,Postpositis curis ad eam uestigia uertam,Postpositis curis ad eam uestigia uertam,Postpositis curis ad eam uestigia uertam,"ok brott hrundit ǫllum sǫkum til hennar man ek nú snúa fótsporum
 mínum"
209,284,Et sibi consilium notificabo meum,Et sibi consilium notificabo meum,Et sibi consilium notificabo meum,Et sibi consilium notificabo meum,ok henni man ek fá ráð mitt
210,285,Fama tue laudis nomenque tue bonitatis - -,Fama tue laudis nomenque tue bonitatis - -,Fama tue laudis nomenque tue bonitatis - -,Fama tue laudis nomenque tue bonitatis uel probitatis,Frǽgð lofs þíns ok nafn gǿzku þinnar
211,286,Causa miserunt me tibi consilij,Causa miserunt me tibi consilij,Causa miserunt me tibi consilij,Causa miserunt me tibi consilij,sendi mik hingat til þín fyrir ráðs sakar
212,287,Que loquor auscultet pietas et gracia uestra,Quod loquor auscultet pietas et gracia uestra,Que loquar auscultet pietas et gracia uestra,Que loquor auscultet pietas et gracia uestra,ok hlýðið því er ek mǽli mildi ok miskunn yður
213,288,Alteri et assensu nesciat absque meo,Alter et assensu nesciat absque meo,Alter et assensu nesciat absque meo,Alter et assensu nesciat absque meo,ok lát þú með þér engan nema mik vita
214,289,Diligo uicinam michi quam noscis Galatheam,Diligo uicinam michi quam noscis Galatheam,Diligo uicinam quam tu noscis Galatheam,Diligo uicinam michi quam noscis Galatheam,"ok ek ann vel grannkonu þinni þeiri er þú kannt Galatheam
"
215,29,Ne michi sis dura precibusque resistere meis,Ne sis dura michi precibusque resistere noli,Ne michi sitem dura precibusque resistere noli,Ne sis dura michi precibus resistere noli,"ok eigi vert þú hǫrð við mik ok eigi skalt þú móti standa minni nauðsyn
"
216,290,Ipsa suis dictis me nisi fallor amat,Ipsa suis dictis me nisi fallar amat,Ipsa suis dictis me nisi fallor amat,Ipsa suis dictis me nisi fallar amat,ok hon ann mér nema ek sé svikinn af hennar orðum
217,291,Con loquor ut uellem nam mille pericula uito,Non loquor ut uellem nam mille pericula uito,Non loquor ut uellem nam mille pericula uito,Non loquor ut uellem nam mille pericula uito,"eigi mǽli ek sem ek vildi því at ek hrǽðumsk
 þúshundrað háska"
218,292,Quicquid in orbe manet sollicitus timeo,Quicquid in orbe manet sollicitus timeo,Quicquid in orbe nocet sollicitus timeo,Quicquid in orbe nocet sollicitus timeo,ek sorgfullr hrǽðumsk hvatvetna þat er í heimi er
219,293,Et minimo crescit sed non cito fama quiescit,E minimo crescit sed non cito fama quiescit,E minimo crescit si non cito fama quiescit,E minimo crescit sed non cito fama quiescit,því at af litlu vex oftsinnum frǽgð
220,294,Quamuis mentitur crescit eundo tamen,Quamuis mentitur crescit eundo tamen,Quamuis mentitur crescit eundo tamen,Quamuis mentitur crescit eundo tamen,
221,295,Parua nocent miseris miseros mille mala sequuntur,Parua nocent miseris miseros mala mille sequentur,Parua nocent miseris miseros mille mala sequuntur,Parua nocent miseris miseros mala mille sequuntur,
222,296,Resque laborque suus spe manet in dubia,Resque laborque meus spe manet in dubia,Resque laborque suus spe manet in dubia,Resque laborque suus spe manet in dubia,ok starf hins fátǿkja er í mǿðiligri ván
223,296a,Commoda communis non capit ulla labor,Commoda communis non capit ulla labor,Commoda communis non capit ulla labor,Commoda communis non capit ulla labor,
224,296b,Qui captem nosci sis inter nuncia nostri,Qui captem nosci sis inter nuncia nostri,Qui captem nosci sis inter nuncia nostri,Qui captem nosci sis inter nuncia nostri,
225,297,Tu mala nostra uides tua uox eat inter utrumque,Tu mala nostra uides tua uox eat inter utrumque,Tu mala nostra uides tua uox eat inter utrumque,Tu mala nostra uides tua uox eat inter utrumque,nú sér þú vanda minn ráð þvísa meðal beggja okkar ok
226,298,Deprecor ut nostrum crimen eundo tegas -,Deprecor ut nostrum crimen eundo tegas -,Deprecor ut nostrum crimen eundo tegas -,Res quoque ne pateat concia magna rogat,þess bið ek at þú leynir lǫst hvárstveggja
227,299,"""Alter amat quod amas et quod petis hoc petit alter","""Alter amat quod amas et quod petis hoc petit alter","""Alter amat quod amas et quod petis hoc petit alter","""Alter amat quod amas et quod petis hoc petit alter",Annarr ann því er þú annt ok þess er þú biðr þá biðr annarr
228,3,Et ferientis adhuc non audeo dicere nomen,Et feruentis adhuc non audeo dicere nomen,Sed ferientis adhuc non audeo dicere nomen,Sed ferientis adhuc non audeo dicere nomen,"ok ei dirfumsk ek at segja nafn hǫggvanda
"
229,30,Et fac quod posco Non ego magna peto,Sed fac que posco Non ego magna peto,Sed fac quod posco Non ego magna peto,Sed fac quod posco Non ego magna peto,Heldr ger þú þat er ek beiðumsk Eigi bið ek þik stórra hluta
230,300,Sed atamen assensum non habet inde - - meum,Sed tamen assensum non habet inde - - meum,Sed tamen assensum non habet inde - - meum,Sed tamen assensum non habet inde uel ille meum,en enn hefir hann eigi til þess vilja minn
231,301,Est nimis ille probus et honesta coniuge dignus,Est nimis ille probus et honesta coniuge dignus,Est nimis ille probus et honesta coniuge dignus,Est nimis ille probus et honesta coniuge dignus,hann er vel reyndr ok verðugr er hann dýrrar konu
232,302,Sed michi displicuit quod dare disposuit,Sed michi displicuit quod dare disposuit,Sed michi displicuit quod dare disposuit,Sed michi displicuit quod dare disposuit,en mǽr þekkðisk eigi þat er hann bauð mér
233,303,Promisit ueteres cum pellicio michi pelles,Promisit ueteres cum pellicio michi uestes,Promisit ueteres cum pellicia michi pelles,Promisit ueteres cum pellicio michi uestes,hann hét mér fornt skinn ok skinnrokk
234,304,Sic sibi uile meum munus ademit opem,Sic sibi uile meam munus ademit opem,Sic sibi uile meam munus ademit opem,Sic sibi uile meam munus ademit opem,því dró herfilig gjǫf vilja minn frá honum
235,305,Si datur ad tempus dat et affert commoda munu,Si datur ad tempus dat et affert commoda munu,Sed datur ad tempus dat et affert commoda munu,Si datur ad tempus dat et affert commoda munu,at hon fǿrir ok frá tekr fullting manns
236,306,Ius legesque suo destruit - - ingenio,Ius legesque suo destruit - - ingenio,Ius legesque suo destruit - - ingenio,Ius legesque suo destruit imperio uel ingenio,"ok niðr brýtr rétt lǫg ok fullting
 manna með sínu athygli"
237,307,Quam petis ut credo nisi per me nullus habebit,Quam petis ut credo nisi per me nullus habebit,Quam petis ut credo nisi per me nullus habebit,Quam petis ut credo nisi per me nullus habebit,"en þat er þú beiðisk
 þá mun engi fá nema ek vili"
238,308,Nam nimis illa meo subiacet imperio,Nam nimis illa meo subiacet imperio,Nam nimis illa meo subiat imperio,Nam nimis illa meo subiacet imperio,því at hon liggr undir mínu valdi
239,309,Insuper ipsa sui sum dux et conscia facti,Insuper ipse sui sum dux et conscia facti,Insuper sui ipsa sum dux et conscia facti,Insuper ipsa sui sum dux et conscia facti,"ok hon fylgir mér jafnan
 ok ek veit allt með henni"
240,31,Dixi non magna misero michi magna uidentur,Dixi non magna misero michi magna uidentur,Dixi non magna michi misero magna uidentur,Dixi non magna misero michi magna uidentur,kveð þú ok eigi stóra vera en þó sýnask mér stórir vera
241,310,Et facit illa meis omnia consilijs,Et facit illa meis omnia consilijs,Et facit ipsa meis omnia consilijs,Et facit illa meis omnia consilijs,
242,311,Non loquar ipsa diu tibi me premit altera cura,Non loquor ipsa diu tibi me premit altera cura,Non loquar ipsa diu tibi me premit altera cura,Non loquar ipsa diu tibi me premit altera cura,ok hon lǽtr mjǫk at mínu ráði
243,312,Carpat quisque uias et sibi querat opem,Carpat quisque uias et sibi querat opem,Carpat quisque uias et sibi querat opem,Carpit quisque uias et sibi querit opem,en eigi mun ek nú fleira rǿða
244,312,Carpat quisque uias et sibi querat opem,Carpat quisque uias et sibi querat opem,Carpat quisque uias et sibi querat opem,Carpit quisque uias et sibi querit opem,fari hverr þar er ráð þykkir
245,313,Hoc michi parant opus nec me premit altera cura,Hac michi prestat opem nec me premit altera cura,Hoc michi prestat - nec - premit altera cura,Hoc michi prestat opus nec - premit altera cura,Enn er mér ekki hǿgra ok ei þrøngvir mér annat starf
246,314,Hanc michi si dederis omnia prestiteris,Hanc michi si dederis omnia prestiteris,Hanc michi si dederis omnia prestiteris,Hanc michi si dederis omnia prestiteris,ef þú þetta veitir mér þá er sem þú gefir mér hvatvetna
247,315,Convenit externos mercari sepe labores,Convenit hesternos mercari sepe labores,Convenit externos mercari sepe labores,Convenit externos mercari sepe labores,oft hǿfir með fé at kaupa annars starf
248,316,Emptus et ut capiat premia digna labor,Emptus et ut capiat premia digna labor,Tempus et ut capiat premia digna labor,Emptus et ut capiat premia digna labor,"ok at keypt erfiði
 hafi verðuga laun"
249,317,Nulla parte tuum frustrabor crede laborem,Nulla parte tuum frustrabor crede laborem,Nulla parte tuum frustrabor crede laborem,Nulla parte tuum frustrabor crede laborem,trú þú mér starf þitt skal ek þér launa
250,318,Nunc quibus indigeo si michi provideas,Nunc quibus indigeo si michi provideas,Nunc quibus indigeo si michi provideas,Nunc quibus indigeo si michi provideas,ef þú vilt sjá fyrir mér um þat sem ek þarf
251,319,Deprecor hec unu mercedis dic michi nomen,Deprecor hoc unu mercedis dic michi nomen,Deprecor hoc unu mercedis dic michi nomen,Deprecor hoc unu mercedis dic michi nomen,þat eina bið ek þik seg mér hvat þú vill þiggja
252,32,Sed tamen ista dare non tibi difficile est,Sed tamen ista dare non tibi difficile est,Sed tamen ista dare non tibi difficile est,Sed tamen ista dare non tibi difficile est,En þér er þó mér þetta at gefa ei alltorveldligt
253,320,"Et quodcunque - dixeris protinus ipse dabo""","Et quodcunque michi dixeris - ipse dabo""","Et quecunque michi dixeris - ipse dabo""","Et quodcunque michi dixeris - ipse dabo""",
254,321,"""Plura uolunt et plura petunt quibus instat egestas","""Plura uolunt et plura petunt quibus instat egestas","""Plura uolunt et plura petunt quibus instat egestas","""Plura uolunt et plura petunt quibus instat egestas",Margt vilja ok fleira beiðask þeir er margs þurfu
255,322,Quantis indigeam tanta referre pudet,Quantis indigeo tanta referre pudet,Quantis indigeo tanta referre pudet,Quantis indigeo tanta referre pudet,"svá margs sem ek þarf þá skǫmmumsk
 ek at segja"
256,323,Diuicias multas habui dum floruit etas,Diuicias habui multas dum floruit etas,Diuicias multas habui dum floruit etas,Diuicias multas habui dum floruit etas,ek átta fé mikit þá er ek var ung
257,324,Copia discessit pluribus indigeo,Copia discessit pluribus indigeo,Copia discessit pluribus indigeo,Copia discessit pluribus indigeo,en nú er gnótt fjár brott farin ok þurft í stað komin
258,325,Me nam debilitas nimium spoliauit et etas,Me mea debilitas nimis exspoliauit et etas,Me debilitas et etas,Me mea debilitas nimis exspoliauit et etas,ok vanheilsa ok aldr hafa mik eydda
259,326,Commoda nulla facit arsque laborque meus,Commoda nulla facit arsque laborque michi,Commoda nulla facit arsque laborque meus,Commoda nulla facit arsque laborque meus,en vél mín ok starf kømr ekki at haldi
260,327,Si modo nostra tibi prodesse iuuamina sentis,Si modo nostra tibi prodesse iuuamina sentis,Si modo nostra tibi prodesse iuuamina sentis,Si modo nostra tibi prodesse iuuamina sentis,nú ef þú veizt orð mín duga
261,328,"Deprecor ut pateat hinc michi uestra domus""","Deprecor ut pateat hinc michi uestra domus""","Deprecor ut pateat hinc michi uestra domus""","Deprecor ut pateat hinc michi uestra domus""",þá bið ek þik at hús þitt sé opit fyrir mér heðan í frá
262,329,Hinc tibi nostra domus et cetera cuncta patebunt,Hinc tibi nostra domus et cetera cuncta patebunt,Hinc tibi nostra domus et cetera nostra patebunt,Hinc tibi nostra domus et cetera nostra patebunt,Heðan í frá skal hús mitt þér opit vera ok allt várt þér í boði
263,33,'Annuo' dic tantu Iam iamque beatus habebor,'Annue' dic tantu Iam iamque beatus habebor,'Annuo' dic tantu Iam iamque beatus habebor,'Annuo' dic tantu Iam iamque beatus habebor,"Seg at eins at ek játa ok þegar
 mun ek sǽll vera"
264,330,Sitque sub imperio copia nostra tuo,Sitque sub imperio copia nostra tuo,Sitque sub imperio copia nostra tuo,Sitque sub imperio copia nostra tuo,ok ǫll mín eign undir þínu valdi
265,331,Vultum grata michi concordia nos modo iunxit,Multum grata michi modo nos concordia iunxit,Multum grata michi modo nos concordia iunxit,Multum grata michi modo nos concordia iunxit,með ǫllu hefir nú vinátta okkr samtengt ok okkr saman bundit
266,332,Iactaque sollicitet inter uterque fides,Pactaque sollicitet inter utrumque fides,Pactaque sollicitet inter utrumque fides,Pactaque sollicitet inter utrumque fides,
267,333,Hinc precor ut uigil sollercia uestra laborque,Hinc precor ut uigilet sollercia uestra laborque,Hinc precor ut uigilet sollercia uestra laborque,Hinc precor ut uigilet sollercia uestra laborque,"Ok þess bið ek þik at vél þín ok starf vekisk heðan
 í frá"
268,334,Nec racionem - - sua rem bene prouideat,Et racione - - suam rem bene prouideat,Et racione - - suam rem bene prouideat,Et racione meam uel suam rem bene prouideat,ok at vél þín sé mér til hugganar með þinni skynsemi
269,335,Principium finemque simul prudencia spectat,Principium finemque simul prudencia spectet,Principium finemque simul prudencia spectat,Principium finemque simul prudencia spectat,lǽvísi hlýtr bǽði upphaf ok enda
270,336,Porro finis habet crimen et omne decus,Rerum finis habet crimen et omne scelus,Rerum finis habet crimen et omne decus,Rerum finis habet crimen et omne decus,ok þó hefir endalykð allra hluta lǫst ok allra sǿmð
